Sep 07 18:04:58.356 DEBG begin change check, db_mod: 0, folder_mod: 1599494585
Sep 07 18:04:58.367 DEBG begin media sync
Sep 07 18:04:58.608 DEBG server usn was 766
Sep 07 18:04:58.608 DEBG differs from local usn 0, fetching changes
Sep 07 18:04:58.608 DEBG fetching record batch, start_usn: 0
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 4a0f47b9, lsha: , fname: paste-309916250145462.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 2b7afe06, lsha: , fname: paste-311037236609718.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: a9b1af43, lsha: , fname: paste-306244053107382.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 75ff4e62, lsha: , fname: paste-305513908667062.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: dd56b38d, lsha: , fname: paste-306385787028150.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 40d1adcc, lsha: , fname: paste-310642099618486.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 175d32da, lsha: , fname: paste-306888298201782.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 2e32c668, lsha: , fname: paste-310246962627254.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: e572f51f, lsha: , fname: paste-305604102980278.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 773de6e8, lsha: , fname: paste-311080186282678.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: a7c6ac92, lsha: , fname: paste-307107341533878.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: 03b26337, lsha: , fname: paste-306123794023094.jpg
Sep 07 18:04:58.781 DEBG determine action, action: Download, state: NotInDB, rsha: cc258d5e, lsha: , fname: paste-306428736701110.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: d330631f, lsha: , fname: paste-302584740971190.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: ba832602, lsha: , fname: paste-306089434284726.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 7337434d, lsha: , fname: paste-308163903488694.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: d4cbf4e9, lsha: , fname: paste-308241212900022.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: bfe0f82f, lsha: , fname: paste-310715114062518.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: ad3cf2c7, lsha: , fname: paste-308408716624566.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: d7670ec1, lsha: , fname: paste-309864710537910.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 3571cba2, lsha: , fname: paste-310680754324150.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 7337434d, lsha: , fname: paste-308159608521398.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 71c75917, lsha: , fname: paste-306931247874742.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 66872765, lsha: , fname: paste-307296320094902.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 9f71f883, lsha: , fname: paste-307038622057142.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 92cb94f5, lsha: , fname: paste-309740156486326.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 75eeecec, lsha: , fname: paste-305728657031862.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: b6239927, lsha: , fname: paste-311114546021046.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: bd4c945c, lsha: , fname: paste-309787401126582.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 59d02c2d, lsha: , fname: paste-309765926290102.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: c9426e53, lsha: , fname: paste-310581970076342.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 30443cd3, lsha: , fname: paste-308421601526454.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 1b581e59, lsha: , fname: paste-305694297293494.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 7617d040, lsha: , fname: paste-305891865789110.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: accd4574, lsha: , fname: paste-305337815007926.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 265d3a69, lsha: , fname: paste-310848258048694.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 6ba1c1a2, lsha: , fname: paste-310955632231094.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 44f2e85b, lsha: , fname: paste-307210420748982.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: e998974a, lsha: , fname: paste-306506046112438.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 7d6c80be, lsha: , fname: paste-305805966443190.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 2df3ed43, lsha: , fname: paste-308619170022070.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 50002ba2, lsha: , fname: paste-306299887682230.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: f2e12312, lsha: , fname: paste-305436599255734.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 31db05d6, lsha: , fname: paste-305926225527478.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 4a565c4b, lsha: , fname: paste-306046484611766.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 641de0a1, lsha: , fname: paste-310341451907766.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 5cd79aed, lsha: , fname: paste-310289912300214.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 40d1adcc, lsha: , fname: paste-310637804651190.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: d513b313, lsha: , fname: paste-310994286936758.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: b8098a43, lsha: , fname: paste-306166743696054.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 488cbe47, lsha: , fname: paste-305771606704822.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 1f45c02b, lsha: , fname: paste-306287002780342.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: c9426e53, lsha: , fname: paste-310577675109046.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: 73e7450c, lsha: , fname: paste-301498114245302.jpg
Sep 07 18:04:58.782 DEBG determine action, action: Download, state: NotInDB, rsha: b2add0cb, lsha: , fname: paste-302747949728438.jpg
